Codice;Nome/Localizzazione;Gruppo;Categoria;Contesto urbano;Elemento;Circoscrizione;Fonte circoscrizione;Latitudine;Longitudine;Punteggio;Livello accessibilita;Rilevanza;Non valutabile;N. foto rilievo
S_13;SCUOLA RAPISARDI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;;;;;38.1289082;13.3506839;69;Parzialmente inaccessibile;Alta;No;7
S_14;SCUOLA MANZONI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;;;;;38.124259;13.3438844;69;Parzialmente inaccessibile;Alta;No;4
S_15;SCUOLA LA MASA;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.0834658;13.5084818;78;Parzialmente inaccessibile;Alta;No;5
S_16;SCUOLA POLITEAMA;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;;;;;38.1243582;13.3549349;69;Parzialmente inaccessibile;Alta;No;7
S_17;SCUOLA CAPUANA;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;;;;;38.1201473;13.3446468;75;Parzialmente inaccessibile;Alta;No;7
S_18;SCUOLA TURRISI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.154876;13.1091582;69;Parzialmente inaccessibile;Alta;No;5
S_19;SCUOLA COLOZZA;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1178586;13.3485259;63;Parzialmente inaccessibile;Alta;No;6
S_20;SCUOLA BONANNO;Scuola;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1099335;13.3175114;77;Parzialmente inaccessibile;Alta;No;4
S_21;SCUOLA QUARTO DEI MILLE;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;;;;;38.1120031;13.3523537;73;Parzialmente inaccessibile;Alta;No;7
S_22;SCUOLA PEREZ;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;;;;;38.1070357;13.3632441;66;Parzialmente inaccessibile;Alta;No;7
